id,iso2,iso1_3n,iso1_3c,iso1_2c,iso2_uid,admin,admin0,admin1,admin2,admin3,level,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk,nameid
CLBI30,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Talcahuano,,Municipality,1272.8221,166739.7,19337.213,0.11597246,-73.099396,-36.715885,3.6230769,3.0621283,23.507692,"Biobio, Chile"
CLBI31,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Tirua,,Municipality,13.622196,12641.397,1395.7252,0.1104091,-73.394615,-38.297207,109.89462,22.323021,148.99463,"Biobio, Chile"
CLBI32,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Tome,,Municipality,81.533424,58540.996,8654.1133,0.14782996,-72.858269,-36.617039,26.795265,14.568789,132.01393,"Biobio, Chile"
CLBI33,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Tucapel,,Municipality,10.803086,14454.529,2553.863,0.17668255,-71.745338,-37.225616,137.22447,90.723785,238.06081,"Biobio, Chile"
CLBI34,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Yumbel,,Municipality,19.391375,20593.641,3555.6689,0.17265859,-72.61586,-37.088482,41.816807,15.237216,129.04816,"Biobio, Chile"
CLBI4,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Cabrero,,Municipality,38.658646,36803.031,4526.644,0.1229965,-72.38163,-37.061993,40.24556,13.093781,93.566353,"Biobio, Chile"
CLBI5,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Canete,,Municipality,23.091347,36969.246,4791.8159,0.12961628,-73.318161,-37.873634,97.361473,25.146839,120.86742,"Biobio, Chile"
CLBI6,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Chiguayante,,Municipality,1791.951,179195.09,18445.914,0.10293761,-73.003143,-36.900024,10.336634,8.9457159,47.623764,"Biobio, Chile"
CLBI7,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Concepcion,,Municipality,788.75604,253979.45,33028.473,0.13004388,-72.95134,-36.8344,13.498432,10.9318,85.965515,"Biobio, Chile"
CLBI8,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Contulmo,,Municipality,4.6706662,4381.085,681.1369,0.15547219,-73.211914,-38.05225,101.74156,23.938501,145.64136,"Biobio, Chile"
CLBI9,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Coronel,,Municipality,303.49902,123524.1,13814.115,0.11183336,-73.12709,-37.006973,23.8325,14.674748,65.737503,"Biobio, Chile"
CLCO1,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Andacollo,,Municipality,10.139636,7026.7676,1017.7745,0.14484249,-71.100723,-30.258919,51.264835,25.747696,131.26483,"Coquimbo, Chile"
CLCO10,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Monte Patria,,Municipality,6.039938,34524.285,4525.4092,0.13107902,-70.65052,-30.834637,295.19379,192.71843,633.09076,"Coquimbo, Chile"
CLCO11,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Ovalle,,Municipality,26.994625,129736.17,16841.479,0.12981328,-71.405357,-30.672935,51.673119,46.167324,389.3096,"Coquimbo, Chile"
CLCO12,CO,152,CHL,CL,CL-CO,2,Chile,Coquimbo,Paiguano,,Municipality,2.5632656,5252.1313,779.86041,0.14848456,-70.372108,-30.23432,288.53595,217.61563,550.888,"Coquimbo, Chile"
