id,admin0,admin1,admin2,admin3,level,admin,iso2,iso1_3n,iso2_uid,iso1_3c,iso1_2c,nameid,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk
ECI1002,Ecuador,Imbabura,Antonio Ante,,canton,2,I,218,EC-I,ECU,EC,"Antonio Ante, Imbabura, Ecuador",541.0471945,50858.43629,5068.125088,0.099651612,-78.21790953,0.325917809,10.35106383,7.771942432,39.11702128
ECI1003,Ecuador,Imbabura,Cotacachi,,canton,2,I,218,EC-I,ECU,EC,"Cotacachi, Imbabura, Ecuador",25.62575346,54377.84884,5447.602886,0.10018055,-78.74498578,0.318427928,230.9962246,124.2156545,427.2642756
ECI1004,Ecuador,Imbabura,Otavalo,,canton,2,I,218,EC-I,ECU,EC,"Otavalo, Imbabura, Ecuador",210.6337068,122167.5499,11074.09619,0.090646788,-78.24643946,0.212887438,49.68502582,38.90396854,171.2839931
ECI1005,Ecuador,Imbabura,Pimampiro,,canton,2,I,218,EC-I,ECU,EC,"Pimampiro, Imbabura, Ecuador",29.60240698,15422.85403,2094.739492,0.13582048,-77.93434053,0.288425042,142.5096154,86.32832181,269.7788462
ECI1006,Ecuador,Imbabura,San Miguel De Urcuqui,,canton,2,I,218,EC-I,ECU,EC,"San Miguel De Urcuqui, Imbabura, Ecuador",20.69340969,18561.98849,2306.12968,0.12423936,-78.31666846,0.567080757,178.6046771,116.0573709,374.5857461
ECL1101,Ecuador,Loja,Loja,,canton,2,L,218,EC-L,ECU,EC,"Loja, Loja, Ecuador",108.3805501,240713.2018,19909.49275,0.08271043,-79.43476089,-3.847080383,86.52246181,77.46877496,188.6284816
ECL1102,Ecuador,Loja,Calvas,,canton,2,L,218,EC-L,ECU,EC,"Calvas, Loja, Ecuador",31.98109645,31437.41781,4381.976154,0.13938728,-79.60399807,-4.337268134,80.68399592,20.51612005,107.6687054
ECL1103,Ecuador,Loja,Catamayo,,canton,2,L,218,EC-L,ECU,EC,"Catamayo, Loja, Ecuador",45.13006031,34659.88632,3755.646947,0.10835716,-79.40320337,-3.96141736,46.46124031,35.28430825,129.1847545
ECL1104,Ecuador,Loja,Celica,,canton,2,L,218,EC-L,ECU,EC,"Celica, Loja, Ecuador",26.54634055,16193.26774,2010.212202,0.12413877,-80.02957108,-4.167710903,77.43973941,15.17415276,75.86482085
ECL1105,Ecuador,Loja,Chaguarpamba,,canton,2,L,218,EC-L,ECU,EC,"Chaguarpamba, Loja, Ecuador",22.08044942,8147.685837,1393.526244,0.17103338,-79.6705229,-3.853277468,59.2303523,29.09797323,120.9891599
ECL1106,Ecuador,Loja,Espindola,,canton,2,L,218,EC-L,ECU,EC,"Espindola, Loja, Ecuador",27.16039154,16404.87649,2383.486825,0.14529136,-79.41129123,-4.546943342,142.1976936,106.1040785,182.2932455
ECL1107,Ecuador,Loja,Gonzanama,,canton,2,L,218,EC-L,ECU,EC,"Gonzanama, Loja, Ecuador",17.47276745,14327.66931,2715.788675,0.18954854,-79.45608901,-4.159512386,60.51522534,42.14662425,224.3483557
ECL1108,Ecuador,Loja,Macara,,canton,2,L,218,EC-L,ECU,EC,"Macara, Loja, Ecuador",31.00427806,20865.87914,2492.607971,0.11945856,-79.94583411,-4.304373728,100.6957164,33.3014747,151.1462334
ECL1109,Ecuador,Loja,Paltas,,canton,2,L,218,EC-L,ECU,EC,"Paltas, Loja, Ecuador",19.78819859,26773.43269,4305.559359,0.16081461,-79.75902502,-4.013053759,81.02137067,38.02837026,176.9285188
ECL1110,Ecuador,Loja,Puyango,,canton,2,L,218,EC-L,ECU,EC,"Puyango, Loja, Ecuador",23.25084835,17368.38372,2011.146491,0.11579353,-80.07222509,-3.97459583,85.08724832,32.43102268,153.6375839
ECL1111,Ecuador,Loja,Saraguro,,canton,2,L,218,EC-L,ECU,EC,"Saraguro, Loja, Ecuador",26.79116132,33997.98372,3821.031461,0.11238994,-79.296993,-3.569930325,89.19051383,47.29233898,187.4355731
ECL1112,Ecuador,Loja,Sozoranga,,canton,2,L,218,EC-L,ECU,EC,"Sozoranga, Loja, Ecuador",17.19511362,8322.43499,1361.405096,0.16358255,-79.83262885,-4.238104686,97.98329854,33.39157137,186.6722338
ECL1113,Ecuador,Loja,Zapotillo,,canton,2,L,218,EC-L,ECU,EC,"Zapotillo, Loja, Ecuador",10.05105058,14443.35969,1605.159395,0.11113477,-80.39101859,-4.39206818,132.6996491,58.2229723,359.4238596
ECL1114,Ecuador,Loja,Pindal,,canton,2,L,218,EC-L,ECU,EC,"Pindal, Loja, Ecuador",40.2206938,9532.304431,986.9861988,0.1035412,-80.1312723,-4.093127476,71.99156118,18.70831968,127.6540084
ECL1115,Ecuador,Loja,Quilanga,,canton,2,L,218,EC-L,ECU,EC,"Quilanga, Loja, Ecuador",17.84302331,4942.517458,923.0777117,0.18676266,-79.38329729,-4.343351136,85.46931408,55.71823829,202.433213
ECL1116,Ecuador,Loja,Olmedo,,canton,2,L,218,EC-L,ECU,EC,"Olmedo, Loja, Ecuador",40.51320654,5347.743263,1003.713827,0.18768923,-79.59704718,-3.936430173,41.4,19.16682371,90.21538462
ECM1301,Ecuador,Manabi,Portoviejo,,canton,2,M,218,EC-M,ECU,EC,"Portoviejo, Manabi, Ecuador",289.3393517,327821.4854,25057.84584,0.076437473,-80.36432228,-1.04108302,15.36331256,14.46189774,113.9715049
ECM1302,Ecuador,Manabi,Bolivar,,canton,2,M,218,EC-M,ECU,EC,"Bolivar, Manabi, Ecuador",75.72977627,47558.2995,4159.781229,0.087466985,-80.03392472,-0.909541046,48.72972973,34.21822692,209.5294118
ECM1303,Ecuador,Manabi,Chone,,canton,2,M,218,EC-M,ECU,EC,"Chone, Manabi, Ecuador",41.59374273,148656.0365,11533.81504,0.077587262,-80.11054044,-0.572697738,43.41233948,31.0318185,227.7959241
ECM1304,Ecuador,Manabi,El Carmen,,canton,2,M,218,EC-M,ECU,EC,"El Carmen, Manabi, Ecuador",63.61921394,130228.5309,8132.998824,0.062451743,-79.57119085,-0.435953087,37.42578125,28.29272387,177.7285156
ECM1305,Ecuador,Manabi,Flavio Alfaro,,canton,2,M,218,EC-M,ECU,EC,"Flavio Alfaro, Manabi, Ecuador",18.59672923,29457.2191,1935.051344,0.065690227,-79.81738606,-0.325030389,74.92793932,59.51621866,264.2408344
ECM1306,Ecuador,Manabi,Jipijapa,,canton,2,M,218,EC-M,ECU,EC,"Jipijapa, Manabi, Ecuador",48.49288504,83262.28362,10600.33476,0.12731257,-80.59088025,-1.445441291,39.73169303,32.65431645,192.1528998
ECM1307,Ecuador,Manabi,Junin,,canton,2,M,218,EC-M,ECU,EC,"Junin, Manabi, Ecuador",77.11043448,22439.13643,2184.848554,0.097367764,-80.19533893,-0.941620318,29.34353742,12.10830018,87.86054422
